dataset_id,condition_id,run_count,generated_count,not_generated_count,fidelity_available_count,fidelity_unavailable_count,fidelity_available_percent_of_generated,unavailable_reason,reason_count
Sparkov,A_direct,400,400,0,297,103,74.25,candidate_invalid_json,97
Sparkov,A_direct,400,400,0,297,103,74.25,model_drivers_missing,6
Sparkov,B_dense,400,400,0,285,115,71.25,candidate_invalid_json,112
Sparkov,B_dense,400,400,0,285,115,71.25,model_drivers_missing,3
Sparkov,B_lexical,400,400,0,243,157,60.75,candidate_invalid_json,152
Sparkov,B_lexical,400,400,0,243,157,60.75,model_drivers_missing,5
Sparkov,C_dense,400,201,199,126,75,62.686567,candidate_invalid_json,75
Sparkov,C_lexical,400,201,199,129,72,64.179104,candidate_invalid_json,69
Sparkov,C_lexical,400,201,199,129,72,64.179104,model_drivers_missing,3
Sparkov,D_hybrid,400,201,199,125,76,62.189055,candidate_invalid_json,74
Sparkov,D_hybrid,400,201,199,125,76,62.189055,model_drivers_missing,2
ULB,A_direct,150,150,0,107,43,71.333333,candidate_invalid_json,42
ULB,A_direct,150,150,0,107,43,71.333333,model_drivers_missing,1
ULB,B_dense,150,150,0,85,65,56.666667,candidate_invalid_json,63
ULB,B_dense,150,150,0,85,65,56.666667,model_drivers_missing,2
ULB,B_lexical,150,150,0,81,69,54.0,candidate_invalid_json,69
ULB,C_dense,150,68,82,46,22,67.647059,candidate_invalid_json,21
ULB,C_dense,150,68,82,46,22,67.647059,model_drivers_missing,1
ULB,C_lexical,150,68,82,41,27,60.294118,candidate_invalid_json,25
ULB,C_lexical,150,68,82,41,27,60.294118,model_drivers_missing,2
ULB,D_hybrid,150,68,82,45,23,66.176471,candidate_invalid_json,19
ULB,D_hybrid,150,68,82,45,23,66.176471,model_drivers_missing,4
