dataset_id,condition_id,generated_count,metric,n,mean,standard_deviation,minimum,p25,median,p75,p95,maximum
Sparkov,A_direct,400,generation_latency_ms,400,27578.909387,26401.072662,1785.249,6808.288,7928.003,58739.44975,69346.66165,83075.534
Sparkov,A_direct,400,processing_latency_ms,400,27588.358485,26401.006495,1794.011,6817.3855,7938.1225,58748.92525,69356.4958,83085.086
Sparkov,B_dense,400,generation_latency_ms,400,12380.436013,14884.491279,2765.539,8775.17525,9567.599,10790.30175,12494.9929,105007.881
Sparkov,B_dense,400,processing_latency_ms,400,12539.211698,14936.57432,2780.914,8827.25725,9614.5505,10968.4735,13456.2358,105319.974
Sparkov,B_lexical,400,generation_latency_ms,400,10503.397183,2089.876397,3190.899,9255.57325,10173.198,11627.47025,14687.0774,18084.951
Sparkov,B_lexical,400,processing_latency_ms,400,10525.894973,2091.083656,3210.839,9274.66275,10196.523,11649.138,14711.2148,18106.662
Sparkov,C_dense,201,generation_latency_ms,201,13017.58694,15085.667903,2979.216,10121.331,10712.027,11095.068,12228.495,107019.574
Sparkov,C_dense,201,processing_latency_ms,201,13043.542169,15135.66807,2995.067,10135.587,10726.359,11109.671,12242.989,107331.135
Sparkov,C_lexical,201,generation_latency_ms,201,9749.08695,1134.333597,5565.66,9169.896,9794.928,10454.099,11336.879,12443.678
Sparkov,C_lexical,201,processing_latency_ms,201,9772.666771,1133.682125,5584.64,9195.177,9814.695,10501.115,11356.643,12462.963
Sparkov,D_hybrid,201,generation_latency_ms,201,10042.968881,1258.997052,3181.19,9233.486,10122.539,10782.451,11876.035,13795.981
Sparkov,D_hybrid,201,processing_latency_ms,201,10073.447468,1253.542751,3206.493,9258.42,10149.413,10809.81,11901.637,13820.739
ULB,A_direct,150,generation_latency_ms,150,8964.572247,2954.760201,2830.655,7999.66875,8461.2355,9350.029,12036.677,30762.835
ULB,A_direct,150,processing_latency_ms,150,8969.396807,2955.047223,2843.755,8003.997,8465.7095,9354.381,12041.59415,30771.89
ULB,B_dense,150,generation_latency_ms,150,12242.508193,3873.032446,6621.709,10520.44575,11802.961,12670.131,16052.81185,44176.65
ULB,B_dense,150,processing_latency_ms,150,12278.158067,3916.773997,6632.007,10571.1495,11813.9285,12679.98275,16064.9499,44488.431
ULB,B_lexical,150,generation_latency_ms,150,11609.618373,1972.383604,3259.688,10339.489,11654.43,12693.66325,15524.58825,17558.613
ULB,B_lexical,150,processing_latency_ms,150,11626.617493,1973.145436,3274.05,10353.96975,11670.0825,12708.26075,15539.29715,17575.816
ULB,C_dense,68,generation_latency_ms,68,12260.753397,4978.953564,3682.342,10571.3805,11103.317,12680.52425,15901.66425,40276.137
ULB,C_dense,68,processing_latency_ms,68,12283.942868,5024.138668,3691.706,10581.511,11135.2075,12690.57075,15925.82425,40584.333
ULB,C_lexical,68,generation_latency_ms,68,11795.260691,1792.830345,7737.541,10632.70525,11352.803,12771.7905,15057.6376,18504.444
ULB,C_lexical,68,processing_latency_ms,68,11814.307544,1792.387259,7751.998,10647.08675,11367.1695,12786.043,15073.22855,18520.691
ULB,D_hybrid,68,generation_latency_ms,68,11519.350353,2016.121841,7104.062,9998.38375,11295.6095,12950.6,15028.14695,16217.979
ULB,D_hybrid,68,processing_latency_ms,68,11545.308368,2017.084721,7126.292,10019.88,11315.253,12972.35325,15050.53375,16238.267
