dataset_id,condition_id,disposition,run_count,metric,n,mean,standard_deviation,minimum,p25,median,p75,p95,maximum
Sparkov,A_direct,generated_released,400,processing_latency_ms,400,27588.358485,26401.006495,1794.011,6817.3855,7938.1225,58748.92525,69356.4958,83085.086
Sparkov,A_direct,generated_released,400,generation_latency_ms,400,27578.909387,26401.072662,1785.249,6808.288,7928.003,58739.44975,69346.66165,83075.534
Sparkov,A_direct,generated_released,400,retrieval_latency_ms,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparkov,A_direct,generated_released,400,validation_latency_ms,400,0.064317,0.408615,0.01,0.014,0.015,0.02125,0.085,7.313
Sparkov,A_direct,generated_released,400,cpu_time_ms,400,4541.962205,3755.918205,319.191,1463.1605,1834.725,8901.32275,10392.29965,12405.527
Sparkov,A_direct,generated_released,400,memory_rss_delta_bytes,400,-24606351.36,74963577.075226,-459423744.0,-6823936.0,-1163264.0,671744.0,3247308.8,19103744.0
Sparkov,B_dense,generated_released,400,processing_latency_ms,400,12539.211698,14936.57432,2780.914,8827.25725,9614.5505,10968.4735,13456.2358,105319.974
Sparkov,B_dense,generated_released,400,generation_latency_ms,400,12380.436013,14884.491279,2765.539,8775.17525,9567.599,10790.30175,12494.9929,105007.881
Sparkov,B_dense,generated_released,400,retrieval_latency_ms,400,148.454878,721.923173,4.562,5.274,5.8715,8.3795,357.49685,5974.502
Sparkov,B_dense,generated_released,400,validation_latency_ms,400,0.11004,0.461148,0.01,0.013,0.014,0.02,0.03325,2.948
Sparkov,B_dense,generated_released,400,cpu_time_ms,400,2050.902668,2622.482286,311.163,1415.93975,1555.9115,1774.4685,2097.09535,17837.359
Sparkov,B_dense,generated_released,400,memory_rss_delta_bytes,400,-18000445.44,105206090.087679,-688259072.0,438272.0,835584.0,1527808.0,4555571.2,14303232.0
Sparkov,B_lexical,generated_released,400,processing_latency_ms,400,10525.894973,2091.083656,3210.839,9274.66275,10196.523,11649.138,14711.2148,18106.662
Sparkov,B_lexical,generated_released,400,generation_latency_ms,400,10503.397183,2089.876397,3190.899,9255.57325,10173.198,11627.47025,14687.0774,18084.951
Sparkov,B_lexical,generated_released,400,retrieval_latency_ms,400,11.374585,8.870295,9.327,9.603,9.6735,9.9255,14.31795,103.012
Sparkov,B_lexical,generated_released,400,validation_latency_ms,400,0.030977,0.204084,0.01,0.013,0.015,0.021,0.029,4.045
Sparkov,B_lexical,generated_released,400,cpu_time_ms,400,1680.434802,353.619481,391.967,1462.54375,1649.634,1890.84075,2293.99575,2848.637
Sparkov,B_lexical,generated_released,400,memory_rss_delta_bytes,400,1911562.24,4315317.181563,-56410112.0,360448.0,1048576.0,3874816.0,7675904.0,14336000.0
Sparkov,C_dense,generated_blocked,201,processing_latency_ms,201,13043.542169,15135.66807,2995.067,10135.587,10726.359,11109.671,12242.989,107331.135
Sparkov,C_dense,generated_blocked,201,generation_latency_ms,201,13017.58694,15085.667903,2979.216,10121.331,10712.027,11095.068,12228.495,107019.574
Sparkov,C_dense,generated_blocked,201,retrieval_latency_ms,201,15.971269,50.060792,4.523,5.124,5.443,6.067,33.246,302.603
Sparkov,C_dense,generated_blocked,201,validation_latency_ms,201,0.165811,0.7638,0.021,0.028,0.035,0.039,0.048,5.459
Sparkov,C_dense,generated_blocked,201,cpu_time_ms,201,2120.184473,2615.649533,367.976,1611.383,1719.457,1797.643,1986.822,18149.104
Sparkov,C_dense,generated_blocked,201,memory_rss_delta_bytes,201,-16137587.900498,96231453.580191,-641744896.0,163840.0,720896.0,950272.0,3670016.0,5046272.0
Sparkov,C_dense,pre_generation_suppressed,199,processing_latency_ms,199,27.169497,54.34333,13.625,14.2845,14.723,15.798,68.1769,321.903
Sparkov,C_dense,pre_generation_suppressed,199,generation_latency_ms,0,,,,,,,,
Sparkov,C_dense,pre_generation_suppressed,199,retrieval_latency_ms,199,18.111814,54.231994,4.708,5.2705,5.811,6.5015,58.6632,312.229
Sparkov,C_dense,pre_generation_suppressed,199,validation_latency_ms,0,,,,,,,,
Sparkov,C_dense,pre_generation_suppressed,199,cpu_time_ms,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparkov,C_dense,pre_generation_suppressed,199,memory_rss_delta_bytes,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparkov,C_lexical,generated_blocked,201,processing_latency_ms,201,9772.666771,1133.682125,5584.64,9195.177,9814.695,10501.115,11356.643,12462.963
Sparkov,C_lexical,generated_blocked,201,generation_latency_ms,201,9749.08695,1134.333597,5565.66,9169.896,9794.928,10454.099,11336.879,12443.678
Sparkov,C_lexical,generated_blocked,201,retrieval_latency_ms,201,11.242129,7.697733,9.477,9.602,9.664,9.792,12.205,58.594
Sparkov,C_lexical,generated_blocked,201,validation_latency_ms,201,0.127582,0.770972,0.019,0.027,0.035,0.04,0.058,9.673
Sparkov,C_lexical,generated_blocked,201,cpu_time_ms,201,1526.639627,210.782756,820.361,1418.734,1536.907,1645.694,1851.075,2119.472
Sparkov,C_lexical,generated_blocked,201,memory_rss_delta_bytes,201,1669211.701493,4772943.947778,-4947968.0,245760.0,770048.0,1097728.0,4554752.0,27688960.0
Sparkov,C_lexical,pre_generation_suppressed,199,processing_latency_ms,199,22.866161,19.717361,18.49,18.8675,19.287,19.801,21.4776,147.108
Sparkov,C_lexical,pre_generation_suppressed,199,generation_latency_ms,0,,,,,,,,
Sparkov,C_lexical,pre_generation_suppressed,199,retrieval_latency_ms,199,11.064633,7.355273,9.465,9.601,9.666,9.8755,10.5207,59.372
Sparkov,C_lexical,pre_generation_suppressed,199,validation_latency_ms,0,,,,,,,,
Sparkov,C_lexical,pre_generation_suppressed,199,cpu_time_ms,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparkov,C_lexical,pre_generation_suppressed,199,memory_rss_delta_bytes,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparkov,D_hybrid,generated_blocked,201,processing_latency_ms,201,10073.447468,1253.542751,3206.493,9258.42,10149.413,10809.81,11901.637,13820.739
Sparkov,D_hybrid,generated_blocked,201,generation_latency_ms,201,10042.968881,1258.997052,3181.19,9233.486,10122.539,10782.451,11876.035,13795.981
Sparkov,D_hybrid,generated_blocked,201,retrieval_latency_ms,201,18.450408,15.532825,14.203,14.965,15.282,15.991,22.008,119.309
Sparkov,D_hybrid,generated_blocked,201,validation_latency_ms,201,0.033318,0.007026,0.02,0.027,0.035,0.038,0.043,0.05
Sparkov,D_hybrid,generated_blocked,201,cpu_time_ms,201,1590.392109,224.438408,347.455,1455.813,1602.32,1732.649,1886.085,2286.672
Sparkov,D_hybrid,generated_blocked,201,memory_rss_delta_bytes,201,931442.626866,3897241.441076,-7438336.0,147456.0,688128.0,884736.0,3473408.0,23838720.0
Sparkov,D_hybrid,pre_generation_suppressed,199,processing_latency_ms,199,25.679206,2.239662,22.915,23.925,24.923,26.989,29.815,35.13
Sparkov,D_hybrid,pre_generation_suppressed,199,generation_latency_ms,0,,,,,,,,
Sparkov,D_hybrid,pre_generation_suppressed,199,retrieval_latency_ms,199,16.626136,2.062759,14.297,14.956,15.839,17.914,20.809,24.237
Sparkov,D_hybrid,pre_generation_suppressed,199,validation_latency_ms,0,,,,,,,,
Sparkov,D_hybrid,pre_generation_suppressed,199,cpu_time_ms,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparkov,D_hybrid,pre_generation_suppressed,199,memory_rss_delta_bytes,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULB,A_direct,generated_released,150,processing_latency_ms,150,8969.396807,2955.047223,2843.755,8003.997,8465.7095,9354.381,12041.59415,30771.89
ULB,A_direct,generated_released,150,generation_latency_ms,150,8964.572247,2954.760201,2830.655,7999.66875,8461.2355,9350.029,12036.677,30762.835
