dataset_id,sample_id,condition_id,request_id,status,disposition,generation_attempted,processing_latency_ms,generation_latency_ms,retrieval_latency_ms,validation_latency_ms,cpu_time_ms,memory_rss_delta_bytes
ULB,FOLLOWUP_ULB_007,C_lexical,036977a8-0419-4e9c-96e9-64aae6cb7c59,suppressed,pre_generation_suppressed,False,15.761,,9.939,,0.0,0.0
ULB,FOLLOWUP_ULB_002,D_hybrid,0cb3ad6c-1874-4c61-9a65-04a7f841ce58,suppressed,pre_generation_suppressed,False,19.094,,14.637,,0.0,0.0
ULB,FOLLOWUP_ULB_003,A_direct,1804ef2c-daf5-46b4-a340-56eb539a3671,completed,generated_released,True,9668.638,9663.804,0.0,0.014,2053.908,1032192.0
ULB,FOLLOWUP_ULB_005,B_dense,1c03e796-92a0-4908-a886-755bddf5c0f7,completed,generated_released,True,12988.946,12977.419,6.604,0.024,2196.464,-16384.0
ULB,FOLLOWUP_ULB_003,C_lexical,1e25c9d2-3b5a-46ed-b3fe-e6cf2bb258b0,suppressed,pre_generation_suppressed,False,15.416,,10.327,,0.0,0.0
ULB,FOLLOWUP_ULB_010,A_direct,2e34d9cf-1fbe-4414-b3bd-1065b3a7e0ae,completed,generated_released,True,9608.56,9604.213,0.0,0.021,2063.962,2719744.0
ULB,FOLLOWUP_ULB_001,C_lexical,3015d072-ec38-4ab1-ae3c-051af5e3e580,suppressed,pre_generation_suppressed,False,14.941,,10.333,,0.0,0.0
ULB,FOLLOWUP_ULB_004,A_direct,33ac8d56-8e88-4ae7-a312-53cf6568773a,completed,generated_released,True,9348.066,9343.612,0.0,0.015,1932.078,966656.0
ULB,FOLLOWUP_ULB_007,A_direct,37aa84fd-f718-4d99-a173-8b102d49c13f,completed,generated_released,True,9345.699,9341.064,0.0,0.025,1991.919,-5341184.0
ULB,FOLLOWUP_ULB_008,B_dense,38175b44-3e67-4de1-8153-f1ec2fd06795,completed,generated_released,True,14412.184,14401.777,5.554,0.021,2016.76,819200.0
ULB,FOLLOWUP_ULB_003,D_hybrid,38935871-9c04-489d-8ce1-e47c4c8e7d8d,suppressed,pre_generation_suppressed,False,19.702,,14.826,,0.0,0.0
ULB,FOLLOWUP_ULB_005,C_dense,3c52bff9-410d-4ca2-8a67-fc5920b988f4,suppressed,pre_generation_suppressed,False,12.066,,7.109,,0.0,0.0
ULB,FOLLOWUP_ULB_010,C_dense,41c09f08-1f44-43dc-b99a-7f91aa67ff3c,suppressed,pre_generation_suppressed,False,10.206,,5.41,,0.0,0.0
ULB,FOLLOWUP_ULB_001,B_lexical,439f1540-86f5-4324-bd3a-758df6f5e42c,completed,generated_released,True,12461.867,12446.615,10.461,0.016,1967.1,1851392.0
ULB,FOLLOWUP_ULB_006,B_dense,47378004-ef7b-49c7-b096-2129bd8ff225,completed,generated_released,True,12891.049,12880.106,6.226,0.025,2081.496,819200.0
ULB,FOLLOWUP_ULB_009,B_dense,47cc7778-0c8a-4292-9f66-593cff092391,completed,generated_released,True,10687.423,10198.117,484.388,0.013,1651.355,-1949696.0
ULB,FOLLOWUP_ULB_006,A_direct,4b061ef6-977e-49aa-b17b-3303b952c720,completed,generated_released,True,6764.271,6759.941,0.0,0.024,1418.466,638976.0
